test,config,result,cycles,tx_attempts,tx_sent,rx_injected
sat_20v_01,1x1_baseline,PASS,9897,0,0,0
sat_20v_01,2x2_disabled,PASS,6555,0,0,0
sat_20v_01,2x2_binary,PASS,6566,1,1,2
sat_20v_01,2x2_up3lit,PASS,6644,4,4,10
sat_20v_01,2x2_up4lit,PASS,6761,6,6,14
sat_20v_02,1x1_baseline,PASS,3700,0,0,0
sat_20v_02,2x2_disabled,PASS,3700,0,0,0
sat_20v_02,2x2_binary,PASS,3700,0,0,0
sat_20v_02,2x2_up3lit,PASS,3714,0,0,1
sat_20v_02,2x2_up4lit,PASS,3714,0,0,1
sat_20v_03,1x1_baseline,PASS,7387,0,0,0
sat_20v_03,2x2_disabled,PASS,4240,0,0,0
sat_20v_03,2x2_binary,PASS,4278,0,0,2
sat_20v_03,2x2_up3lit,PASS,4324,1,1,4
sat_20v_03,2x2_up4lit,PASS,4342,1,1,5
sat_20v_04,1x1_baseline,PASS,10292,0,0,0
sat_20v_04,2x2_disabled,PASS,4516,0,0,0
sat_20v_04,2x2_binary,PASS,4516,1,1,1
sat_20v_04,2x2_up3lit,PASS,4612,2,2,6
sat_20v_04,2x2_up4lit,PASS,4640,2,2,8
sat_20v_05,1x1_baseline,PASS,3670,0,0,0
sat_20v_05,2x2_disabled,PASS,3670,0,0,0
sat_20v_05,2x2_binary,PASS,3686,0,0,1
sat_20v_05,2x2_up3lit,PASS,3703,0,0,2
sat_20v_05,2x2_up4lit,PASS,3703,0,0,2
sat_50v_1.6,1x1_baseline,PASS,15069,0,0,0
sat_50v_1.6,2x2_disabled,PASS,8051,0,0,0
sat_50v_1.6,2x2_binary,PASS,7596,4,4,5
sat_50v_1.6,2x2_up3lit,PASS,7208,5,5,13
sat_50v_1.6,2x2_up4lit,PASS,7232,5,5,14
sat_50v_2.0,1x1_baseline,PASS,8234,0,0,0
sat_50v_2.0,2x2_disabled,PASS,8089,0,0,0
sat_50v_2.0,2x2_binary,PASS,7550,1,1,7
sat_50v_2.0,2x2_up3lit,PASS,6989,7,7,15
sat_50v_2.0,2x2_up4lit,PASS,7065,8,8,17
sat_50v_3.4,1x1_baseline,PASS,12557,0,0,0
sat_50v_3.4,2x2_disabled,PASS,6399,0,0,0
sat_50v_3.4,2x2_binary,PASS,6072,5,5,6
sat_50v_3.4,2x2_up3lit,PASS,6126,6,6,9
sat_50v_3.4,2x2_up4lit,PASS,6157,6,6,10
sat_100v_a,1x1_baseline,PASS,168731,0,0,0
sat_100v_a,2x2_disabled,PASS,15519,0,0,0
sat_100v_a,2x2_binary,PASS,15519,0,0,0
sat_100v_a,2x2_up3lit,PASS,15558,0,0,2
sat_100v_a,2x2_up4lit,PASS,15598,0,0,5
sat_100v_b,1x1_baseline,PASS,771947,0,0,0
sat_100v_b,2x2_disabled,PASS,81826,0,0,0
sat_100v_b,2x2_binary,PASS,81826,0,0,0
sat_100v_b,2x2_up3lit,PASS,81941,6,6,5
sat_100v_b,2x2_up4lit,PASS,63199,7,7,17
unsat_50v_1.6,1x1_baseline,PASS,6808,0,0,0
unsat_50v_1.6,2x2_disabled,PASS,6395,0,0,0
unsat_50v_1.6,2x2_binary,PASS,5904,5,5,7
unsat_50v_1.6,2x2_up3lit,PASS,5913,6,6,10
unsat_50v_1.6,2x2_up4lit,PASS,5940,7,7,12
unsat_50v_2.0,1x1_baseline,PASS,7035,0,0,0
unsat_50v_2.0,2x2_disabled,PASS,6149,0,0,0
unsat_50v_2.0,2x2_binary,PASS,5514,2,2,3
unsat_50v_2.0,2x2_up3lit,PASS,5563,4,4,5
unsat_50v_2.0,2x2_up4lit,PASS,5563,4,4,5
